"Sample.ID","Max.Em.370","FI","HIX","Freshness"
"SMPLHLDERCORBBWMO1",735885.237760909,0.964,0.89,0.892
"SMPLHLDERCORBBWMO1",735885.237760909,0.964,0.89,0.892
"SMPLHLDERCORBBWMO110x",1120183.49931397,0.944,0.66,1.052
"SMPLHLDERCORBBWMO120x",972610.558323784,0.889,0.45,1.011
"SMPLHLDERCORBBWMO1181x",840521.403093608,1.055,1.31,0.765
"SMPLHLDERCORBBWMO118110x",1344398.0464675,0.935,0.71,1.004
"SMPLHLDERCORBBWMO118120x",1355714.5942639,0.922,0.66,1.035
"SMPLHLDERCORBBWMO118140x",1302519.58684748,0.921,0.65,1.042
"NaCO3CORBBWMO1",834085.667734857,0.89,0.58,1.153
"NaCO3CORBBWMO110X",1235350.056003,0.894,0.59,1.138
"NaCO3CORBBWMO120X",1251568.36933803,0.897,0.59,1.136
"NaCO3CORBBWMO1181",414143.452863962,0.845,0.54,1.212
"NaCO3CORBBWMO118110X",222171.931767189,1.874,0.23,2.762
"NaCO3CORBBWMO118120X",134776.231864816,2.095,0.18,2.956
"NaCO3CORBBWMO118140X",810321.1753812,0.878,0.56,1.167
"COMBCORBBWMO1",820163.669032516,0.915,1.19,1.012
"COMBCORBBWMO110X",1221428.05730066,0.922,1.24,0.974
"COMBCORBBWMO120X",1251568.36933803,0.925,1.14,0.989
"COMBCORBBWMO1181",405462.164184742,0.748,1.04,1.225
"COMBCORBBWMO118110X",662848.838781727,0.942,0.55,1.022
"COMBCORBBWMO118120X",698210.033555777,0.92,0.51,1.07
"COMBCORBBWMO118140X",219136.383634149,0.77,0.02,1.284
"COMBNaCO3BBWMO1",820163.669032516,0.901,0.68,1.11
"COMBNaCO3BBWMO110X",1221428.05730066,0.904,0.68,1.1
"COMBNaCO3BBWMO120X",1251568.36933803,0.905,0.68,1.099
"COMBNaCO3BBWMO1181",413908.161732872,0.879,0.64,1.154
"COMBNaCO3BBWMO118110X",0,0.849,0.64,1.225
"COMBNaCO3BBWMO118120X",0,0.877,0.71,1.162
"COMBNaCO3BBWMO118140X",49043.8273431523,0.901,0.69,1.114
"COMBSMPLHLDRBBWMO1",727203.949081689,0.915,1.19,1.012
"COMBSMPLHLDRBBWMO10X",1111502.21063475,0.922,1.24,0.974
"COMBSMPLHLDRBBWMO20X",972610.558323784,0.925,1.14,0.989
"COMBSMPLHLDRBBWMO181",397700.057613271,0.82,0.83,1.214
"COMBNKSMPLHLDRBBWMO18110X",430850.99966407,0.945,0.52,0.995
"COMBNKSMPLHLDRBBWMO18120X",475310.261789326,0.918,0.47,1.057
"COMBNKSMPLHLDRBBWMO18140X",48254.9993392706,0.945,-4.1,0.729
"COMBNaCO3SMPLHLDRBBWMO1",727203.949081689,0.901,0.68,1.11
"COMBNaCO3SMPLHLDRBBWMO110X",1111502.21063475,0.904,0.68,1.1
"COMBNaCO3SMPLHLDRBBWMO120X",972610.558323784,0.905,0.68,1.099
"COMBNaCO3NKSMPLHLDRBBWMO1181",397700.057613271,0.879,0.64,1.154
"COMBNaCO3NKSMPLHLDRBBWMO118110X",-16443.3952506911,0.849,0.64,1.225
"COMBNaCO3NKSMPLHLDRBBWMO118120X",-16443.3952506911,0.877,0.71,1.162
"COMBNaCO3NKSMPLHLDRBBWMO118140X",32835.7232235513,0.901,0.69,1.114
