"Sample.ID","Max.Em.370","FI","HIX","Freshness"
"b1c1",31816638.5010217,0.93,1.54,0.817
"b1c1",31816638.5010217,0.93,1.54,0.817
"b1c2",22698814.60549,0.703,0.72,1.052
"b1c3",0,0.773,1.33,0.981
"b1c4",-0.928521583421332,0.774,1.33,0.982
"b1c5",-0.928521583421332,0.762,0.93,0.998
"b1c6",-1.85704316684266,0.762,0.93,0.998
"b110xc1",61759771.7492371,0.826,0.98,0.966
"b110xc2",27100084.6360876,0.568,0.58,1.058
"b110xc3",1423197.74230514,0.725,-0.41,-4.64
"b110xc4",1133968.96146395,0.739,-0.44,-2.972
"b110xc5",-0.928521583421332,0.755,0.95,0.971
"b110xc6",-1.85704316684266,0.755,0.95,0.971
"b120xc1",74120579.7529422,0.795,0.88,0.972
"b120xc2",21771812.307469,0.504,0.55,1.051
"b120xc3",8491619.63488995,0.589,0.24,1.353
"b120xc4",8368540.2481923,0.58,0.23,1.36
"b120xc5",-0.928521583421332,0.773,1.06,0.957
"b120xc6",-1.85704316684266,0.773,1.06,0.957
"b181xc1",38078693.0099735,0.928,2.06,0.741
"b181xc2",28960869.1144418,0.641,0.65,1.126
"b181xc3",153534.656745031,0.708,0.95,1.117
"b181xc4",-0.928521583421332,0.709,0.95,1.116
"b181xc5",-0.928521583421332,0.742,0.84,1.038
"b181xc6",-1.85704316684266,0.743,0.84,1.038
"b18110xc1",69026348.4687763,0.808,0.98,0.952
"b18110xc2",29139080.4390574,0.527,0.51,1.113
"b18110xc3",2071004.12059415,0.479,-0.06,1.368
"b18110xc4",1952908.37132611,0.438,-0.08,1.396
"b18110xc5",-0.928521583421332,0.764,0.88,0.993
"b18110xc6",-1.85704316684266,0.764,0.88,0.993
"b18120xc1",73972890.0687182,0.798,0.92,0.961
"b18120xc2",22318533.8929513,0.479,0.5,1.111
"b18120xc3",6978911.50322683,0.592,0.26,1.201
"b18120xc4",6855832.11652918,0.581,0.25,1.205
"b18120xc5",-0.928521583421332,0.77,0.92,0.985
"b18120xc6",-1.85704316684266,0.771,0.92,0.986
"b18140xc1",78286701.1420882,0.789,0.88,0.967
"b18140xc2",17357263.3562621,0.415,0.47,1.105
"b18140xc3",11292722.5765969,0.597,0.36,1.162
"b18140xc4",11169643.1898992,0.59,0.35,1.164
"b18140xc5",-0.928521583421332,0.779,0.97,0.978
"b18140xc6",-1.85704316684266,0.779,0.97,0.978
"harvc1",16765208.277559,0.962,1.67,0.792
"harvc2",7647384.38202731,0.732,0.76,1.024
"harvc3",0,0.833,1.61,0.934
"harvc4",-0.928521583421332,0.834,1.6,0.935
"harvc5",-0.928521583421332,0.781,0.95,0.982
"harvc6",-1.85704316684266,0.782,0.95,0.982
"harv2xc1",28876181.2776085,0.936,1.37,0.892
"harv2xc2",19758357.3820767,0.714,0.74,1.028
"harv2xc3",0,0.817,1.74,0.917
"harv2xc4",-0.928521583421332,0.819,1.73,0.918
"harv2xc5",-0.928521583421332,0.774,0.94,0.981
"harv2xc6",-1.85704316684266,0.774,0.94,0.981
"harv5xc1",52535454.5240779,0.848,1.02,0.964
"harv5xc2",28329936.1295924,0.602,0.62,1.048
"harv5xc3",2548185.62781187,0.699,0.05,1.516
"harv5xc4",2365877.2139992,0.671,0.04,1.535
"harv5xc5",-0.928521583421332,0.758,0.94,0.966
"harv5xc6",-1.85704316684266,0.758,0.94,0.966
"harv10xc1",70058112.4521116,0.803,0.89,0.971
"harv10xc2",25291616.7679112,0.543,0.58,1.045
"harv10xc3",18955677.6313979,0.663,0.43,1.175
"harv10xc4",18832598.2447003,0.66,0.43,1.176
"harv10xc5",-0.928521583421332,0.782,1.05,0.944
"harv10xc6",-1.85704316684266,0.783,1.05,0.945
"konzc1",41772470.1565598,0.905,1.59,0.893
"konzc2",32654646.2610281,0.656,0.62,1.063
"konzc3",1740460.47827328,0.58,-0.21,1.109
"konzc4",1627529.04381106,0.527,-0.3,1.116
"konzc5",-0.928521583421332,0.759,0.82,1.002
"konzc6",-1.85704316684266,0.76,0.82,1.002
"konz5xc1",65019766.2580666,0.819,1.04,0.96
"konz5xc2",28511970.0782312,0.551,0.5,1.069
"konz5xc3",31274556.3582896,0.719,0.71,1.042
