Wavelength	S1c / R1c	Wavelength	S1	Wavelength	R1
nm	CPS / MicroAmps	nm	CPS	nm	MicroAmps
365	1070.35605529931	365	12048	365	12.6033740755738
365.5	1067.41185274418	365.5	12060	365.5	12.5951513644259
366	1018.41915021893	366	11568	366	12.6066396212148
366.5	1004.71246595101	366.5	11460	366.5	12.6032172579475
367	995.526048497796	367	11404	367	12.6010156466284
367.5	980.211238905896	367.5	11288	367.5	12.6110713838919
368	994.462976700734	368	11492	368	12.5981445773043
368.5	939.28147622441	368.5	10908	368.5	12.6033225069705
369	968.99997879256	369	11308	369	12.6073809786336
369.5	960.100521900312	369.5	11248	369.5	12.5991025362847
370	914.801785833731	370	10772	370	12.6054811739539
370.5	922.630136383374	370.5	10912	370.5	12.6041993380216
371	901.758792310356	371	10712	371	12.6025481661534
371.5	841.225994202139	371.5	10044	371.5	12.6096480196399
372	842.014606573586	372	10088	372	12.5955222384478
372.5	840.195810241847	372.5	10120	372.5	12.6050178927058
373	782.887640067842	373	9476	373	12.6087687715967
373.5	775.844480484264	373.5	9428	373.5	12.6004583712401
374	736.794907442086	374	9000	374	12.6073094698448
374.5	723.657935243864	374.5	8876	374.5	12.600453244287
375	680.210755892935	375	8384	375	12.6030651095107
375.5	661.729639423194	375.5	8192	375.5	12.608845602651
376	637.912739521756	376	7920	376	12.5956545870801
376.5	634.259811034858	376.5	7912	376.5	12.6054987520788
377	602.96736900069	377	7552	377	12.6062648409429
377.5	592.209622829897	377.5	7444	377.5	12.6014234591268
378	571.873504387713	378	7220	378	12.6063527071534
378.5	559.18553316199	378.5	7084	378.5	12.5988648409732
379	548.865829937322	379	6984	379	12.6036507540395
379.5	549.858074244788	379.5	7028	379.5	12.6090369844862
380	527.01238102987	380	6756	380	12.5951951876679
380.5	519.251577081993	380.5	6676	380.5	12.6056513399688
381	497.983671774802	381	6416	381	12.6056382296173
381.5	510.449024934165	381.5	6588	381.5	12.6009614474099
382	516.268937622736	382	6680	382	12.606307541138
382.5	567.37845167354	382.5	7352	382.5	12.5980439669531
383	631.285223434053	383	8200	383	12.6020087130306
383.5	678.342663831519	383.5	8836	383.5	12.6106438692452
384	814.313019786709	384	10620	384	12.5991430636283
384.5	943.103449415586	384.5	12332	384.5	12.6054185274698
385	1171.30897927047	385	15344	385	12.6015349581497
385.5	1444.80951214428	385.5	18936	385.5	12.599859347805
386	1862.23660707114	386	24436	386	12.6070898653535
386.5	2271.52549125426	386.5	29804	386.5	12.5981830050385
387	2866.5732323322	387	37648	387	12.602626242325
387.5	3473.50252913219	387.5	45664	387.5	12.6072268770717
388	4429.02636786804	388	58216	388	12.5973215304326
388.5	5391.15548203412	388.5	70960	388.5	12.6068499239483
389	6475.73261687729	389	85256	389	12.602056589007
389.5	7740.6542334357	389.5	101964	389.5	12.6009984347144
390	8967.11033596749	390	118252	390	12.6072961885949
390.5	10497.6088993087	390.5	138480	390.5	12.596067721844
391	12160.1214285329	391	160696	391	12.6030941134168
391.5	13738.9278775013	391.5	181828	391.5	12.606339621216
392	15547.378414668	392	205840	392	12.5957520968453
392.5	17120.525543434	392.5	227096	392.5	12.6041528780609
393	18674.7339071152	393	247964	393	12.6015684054152
393.5	20232.358500765	393.5	268976	393.5	12.6016055147901
394	21797.1066339683	394	290316	394	12.6095272188592
394.5	22913.1243567849	394.5	305196	394.5	12.5947158175527
395	24199.2165190934	395	322940	395	12.6032019503304
395.5	25042.9597735366	395.5	334772	395.5	12.6068357882062
396	25560.1933219812	396	341972	396	12.5994162569865
396.5	25882.1606196511	396.5	346920	396.5	12.6047234835273
397	25861.7338756855	397	347012	397	12.6000127901872
397.5	25557.2739117443	397.5	343460	397.5	12.6015654513137
398	25054.0602291917	398	337348	398	12.6078410372255
398.5	24274.6904865159	398.5	327052	398.5	12.5973953097292
399	23122.0398261134	399	312020	399	12.5994036593303
399.5	21811.489439338	399.5	294876	399.5	12.6044227511067
400	20523.2555957272	400	277664	400	12.5955296359087
400.5	18888.491917974	400.5	256096	400.5	12.6048351046206
401	17376.8423223305	401	235860	401	12.6009351290506
401.5	15605.8382834331	401.5	212080	401.5	12.5984980685137
402	13825.148726475	402	188260	402	12.6060886202405
402.5	12157.4012624254	402.5	165620	402.5	12.5935805880651
403	10735.347230936	403	146532	403	12.6002101534677
403.5	9311.34081294141	403.5	127344	403.5	12.6069783907446
404	7908.99594625813	404	108240	404	12.5977688204699
404.5	6683.16658238483	404.5	91660	404.5	12.6068431856671
405	5493.14073736447	405	75404	405	12.5997852022975
405.5	4545.9234507277	405.5	62492	405.5	12.6000384981949
406	3778.85006701203	406	52056	406	12.6083976290201
406.5	3035.10250336964	406.5	41828	406.5	12.595656515791
407	2500.39639793518	407	34532	407	12.604260129037
407.5	2023.41464516503	407.5	27988	407.5	12.6057296846951
408	1625.27944347336	408	22500	408	12.598275949374
408.5	1359.15113581339	408.5	18856	408.5	12.6070416231662
409	1116.42156734233	409	15500	409	12.5982051730071
409.5	926.379032195389	409.5	12884	409.5	12.6020186739681
410	790.173340384749	410	11012	410	12.6093867403441
410.5	674.993853059583	410.5	9408	410.5	12.5981759493744
411	608.795674145623	411	8500	411	12.6071564913298
411.5	527.377881385191	411.5	7368	411.5	12.6024978487708
412	462.015837825113	412	6460	412	12.59978930386
412.5	430.643789615641	412.5	6032	412.5	12.6092433321416
413	392.587642138163	413	5500	413	12.5988164767156
413.5	368.061964500337	413.5	5164	413.5	12.6045205782547
414	325.48956467662	414	4572	414	12.6062841280522
414.5	320.505538123554	414.5	4504	414.5	12.5990335177303
415	263.956307191481	415	3716	415	12.6088083712059
415.5	258.09680614526	415.5	3632	415.5	12.6013432833458
416	229.303759561414	416	3228	416	12.6037337618517
416.5	201.019763074389	416.5	2832	416.5	12.611146921001
417	200.617180733033	417	2824	417	12.5985299288652
417.5	178.332564505231	417.5	2512	417.5	12.6047860567692
418	158.977086739398	418	2240	418	12.6061701632089
418.5	161.301522060911	418.5	2272	418.5	12.5997727267116
419	156.866586299402	419	2212	419	12.6116143526397
419.5	144.498545575305	419.5	2036	419.5	12.5995038790565
420	137.303034918735	420	1936	420	12.6062957247318
420.5	139.641959252617	420.5	1972	420.5	12.6146762911037
421	126.924404287563	421	1792	421	12.6008701388165
421.5	114.837472802994	421.5	1624	421.5	12.6104988008865
422	125.525930463277	422	1776	422	12.6055341280552
422.5	107.597952415121	422.5	1524	422.5	12.6082335421067
423	118.881943849137	423	1688	423	12.6284789033519
423.5	108.301500845965	423.5	1536	423.5	12.6029473604877
424	108.729630256223	424	1544	424	12.6076841036324
424.5	95.688142303919	424.5	1360	424.5	12.6077311495306
425	106.586127233991	425	1516	425	12.6059204073505
425.5	99.7283148200336	425.5	1420	425.5	12.6152359590702
426	103.125150957041	426	1468	426	12.6077152803901
426.5	98.8524084508057	426.5	1408	426.5	12.6107147432684
427	95.1367396184635	427	1356	427	12.6149357637589
427.5	99.3812474254811	427.5	1416	427.5	12.6061273653575
428	90.628260967472	428	1292	428	12.6087187960109
428.5	104.605149754122	428.5	1492	428.5	12.6106365206125
429	95.0574475792741	429	1356	429	12.6079331514829
429.5	82.6603509718248	429.5	1180	429.5	12.6125869356435
430	96.7015719394853	430	1380	430	12.6041616427093
430.5	89.9829162863809	430.5	1284	430.5	12.6067487520737
431	89.9494374330275	431	1284	431	12.6152074922734
431.5	91.454562169604	431.5	1304	431.5	12.6046180880199
432	98.4490254440544	432	1404	432	12.6108038790102
432.5	95.6940750906064	432.5	1364	432.5	12.6079935518733
433	81.9504888866552	433	1168	433	12.6106503389718
433.5	76.8950809510598	433.5	1096	433.5	12.6150123506727
434	87.097977512327	434	1240	434	12.6043006807947
434.5	83.4051606176584	434.5	1188	434.5	12.6141524385668
435	86.8010478855356	435	1236	435	12.6141339571216
435.5	77.0360807811858	435.5	1096	435.5	12.6064819307857
436	85.4418459082066	436	1216	436	12.614035519622
436.5	73.6827236390469	436.5	1048	436.5	12.6095690645621
437	78.1950510997591	437	1112	437	12.610829635846
437.5	80.7128151172016	437.5	1148	437.5	12.6162709932456
438	76.8613458127868	438	1092	438	12.6054895479773
438.5	78.2686460651466	438.5	1112	438.5	12.6088490694479
439	80.2389307982636	439	1140	439	12.6122214083013
439.5	78.599401885	439.5	1116	439.5	12.607534909297
440	83.9236210728793	440	1192	440	12.6150970430551
440.5	85.1294957595805	440.5	1208	440.5	12.6093746309692
441	72.7336405033251	441	1032	441	12.6141812471604
441.5	74.4357194642186	441.5	1056	441.5	12.6184248018306
442	77.3892520824223	442	1096	442	12.602605514786
442.5	75.4119770751756	442.5	1068	442.5	12.6086644014799
443	78.2304621713952	443	1108	443	12.6156504366075
443.5	75.7679051424311	443.5	1072	443.5	12.6084822481603
444	78.0511584291146	444	1104	444	12.6110268526421
444.5	82.8956910902985	444.5	1172	444.5	12.6114119112343
445	77.8313318971712	445	1100	445	12.6128579561502
445.5	70.5023932794679	445.5	996	445.5	12.617294650468
446	93.8739575599529	446	1324	446	12.6063351778566
446.5	73.7570311850068	446.5	1040	446.5	12.6127814668927
447	81.4731044775024	447	1148	447	12.6137230440373
447.5	73.5708697222385	447.5	1036	447.5	12.6154859590692
448	81.5647156034458	448	1148	448	12.6189690401096
448.5	87.6592791128608	448.5	1232	448.5	12.6104638887772
449	85.478388822832	449	1200	449	12.6059868136003
449.5	87.762186995369	449.5	1232	449.5	12.6150397920788
450	86.7794391574345	450	1216	450	12.6018776339296
