Wavelength	S1c / R1c	Wavelength	S1	Wavelength	R1
nm	CPS / MicroAmps	nm	CPS	nm	MicroAmps
365	1109.78341948627	365	12084	365	12.1919345508919
365.5	1037.96664368608	365.5	11344	365.5	12.1834679432606
366	1043.81861873816	366	11460	366	12.1850465809494
366.5	1014.88059697919	366.5	11200	366.5	12.193873045757
367	1011.57416040173	367	11204	367	12.1836199452131
367.5	983.869294534802	367.5	10952	367.5	12.1901960194049
368	991.511005960608	368	11088	368	12.1914473621732
368.5	957.212003358443	368.5	10748	368.5	12.1858323719618
369	963.332535184393	369	10872	369	12.1925925281841
369.5	926.222893376945	369.5	10496	369.5	12.1867897694188
370	924.050565191925	370	10520	370	12.1873726307446
370.5	922.989242747014	370.5	10560	370.5	12.1928665516205
371	918.810312430692	371	10552	371	12.183921971579
371.5	871.177762492359	371.5	10052	371.5	12.1858167469619
372	844.069250013324	372	9788	372	12.1912043934242
372.5	855.61444069866	372.5	9960	372.5	12.1821711903362
373	789.291347930381	373	9236	373	12.1897176746803
373.5	772.831047048689	373.5	9084	373.5	12.1880438953903
374	769.002420754897	374	9080	374	12.1866590565288
374.5	746.399195807057	374.5	8860	374.5	12.1945214344262
375	700.856190193331	375	8352	375	12.185124681535
375.5	669.548275784783	375.5	8012	375.5	12.1877914783991
376	634.359263040547	376	7624	376	12.1928277332613
376.5	651.381112063983	376.5	7856	376.5	12.1872932850418
377	638.693491898657	377	7736	377	12.1910812488935
377.5	605.281808837087	377.5	7360	377.5	12.1901456287801
378	573.264677048848	378	6996	378	12.185598094619
378.5	575.995270369816	378.5	7064	378.5	12.1966500965269
379	548.779888365781	379	6752	379	12.18688100477
379.5	540.855288320008	379.5	6684	379.5	12.1914716541653
380	520.413712040494	380	6460	380	12.1960688221152
380.5	520.320458932179	380.5	6468	380.5	12.1878161854303
381	529.815637055093	381	6604	381	12.1954513904771
381.5	531.536552847955	381.5	6636	381.5	12.1892143055417
382	526.476274725408	382	6588	382	12.1916424305318
382.5	574.170381101209	382.5	7204	382.5	12.1984142566759
383	620.607997431475	383	7796	383	12.1872581287919
383.5	717.774604307748	383.5	9040	383.5	12.1930127674402
384	817.645372405342	384	10324	384	12.1980632801149
384.5	979.553202598033	384.5	12384	384.5	12.1875385242986
385	1240.53811252717	385	15728	385	12.1960647205527
385.5	1531.53959846277	385.5	19424	385.5	12.1926605701761
386	1919.27944216495	386	24356	386	12.1923478748648
386.5	2396.03668707032	386.5	30440	386.5	12.1983799793323
387	2951.30003886478	387	37492	387	12.1901046131553
387.5	3740.65590279683	387.5	47568	387.5	12.1949596668463
388	4567.63922789611	388	58140	388	12.199087645345
388.5	5553.29222850129	388.5	70684	388.5	12.1911710194009
389	6656.27852761706	389	84816	389	12.1969623035569
389.5	7963.27187150163	389.5	101504	389.5	12.1934717273993
390	9290.55887215647	390	118484	390	12.1922495350215
390.5	10920.1029409713	390.5	139524	390.5	12.2000189929975
391	12524.9681901838	391	160076	391	12.1887625477311
391.5	14075.0090102567	391.5	180236	391.5	12.1975875476949
392	15810.0332400986	392	202732	392	12.1994716541325
392.5	17484.2473898583	392.5	224348	392.5	12.1926056873638
393	19141.3331270248	393	246052	393	12.1995864246399
393.5	20847.1878678961	393.5	268216	393.5	12.1954003650867
394	22122.7887716398	394	284980	394	12.1955443592267
394.5	23401.0353989287	394.5	301940	394.5	12.2005504383078
395	24288.2923274839	395	313552	395	12.1919438465462
395.5	25279.8163042253	395.5	326876	395.5	12.1941559803262
396	25700.4950692316	396	332928	396	12.1992418933913
396.5	26042.5344186828	396.5	337652	396.5	12.1924390369738
397	26054.8565864866	397	338484	397	12.1992628406568
397.5	25683.0020809313	397.5	333992	397.5	12.1941950916541
398	24931.03583707	398	325144	398	12.2116999011528
398.5	24230.7569894995	398.5	317396	398.5	12.2476316637009
399	23123.1159771983	399	302256	399	12.2045641834085
399.5	21659.2695872019	399.5	283352	399.5	12.1969525135178
400	20273.5758559358	400	265616	400	12.1973921863676
400.5	18748.4001092764	400.5	245904	400.5	12.1936307117736
401	17240.597316875	401	226432	401	12.1928389149019
401.5	15542.7937165807	401.5	204512	401.5	12.1982034900752
402	13804.145521731	402	181984	402	12.2043819568468
402.5	12150.7807104595	402.5	160412	402.5	12.2042154773553
403	10806.1216885723	403	142836	403	12.2019497791224
403.5	9233.47486079126	403.5	122144	403.5	12.1941550037637
404	7770.26701982468	404	103020	404	12.2042980701284
404.5	6482.06291746259	404.5	85948	404.5	12.1879683338671
405	5459.3655508158	405	72556	405	12.1988991199552
405.5	4407.97436075829	405.5	58648	405.5	12.1950535877444
406	3757.86201831697	406	50056	406	12.1916946277972
406.5	3036.27539298609	406.5	40512	406.5	12.1946572010272
407	2439.59071576657	407	32608	407	12.1986474598
