Wavelength	S1c / R1c	Wavelength	S1	Wavelength	R1
nm	CPS / MicroAmps	nm	CPS	nm	MicroAmps
365	1043.94398934244	365	9496	365	10.1850612687977
365.5	1050.96781581876	365.5	9608	365.5	10.1913491839207
366	1028.9933862982	366	9440	366	10.1818577714404
366.5	1036.03474695867	366.5	9548	366.5	10.1830220719931
367	995.733261061102	367	9220	367	10.1856530046454
367.5	959.123826517022	367.5	8936	367.5	10.2028885151294
368	982.253211104171	368	9192	368	10.2020194782526
368.5	959.380511009614	368.5	9020	368.5	10.2035506245133
369	1005.22029497327	369	9488	369	10.197090468177
369.5	942.026655124814	369.5	8928	369.5	10.1922953143044
370	906.540133705093	370	8628	370	10.1885689287566
370.5	942.176372250766	370.5	9008	370.5	10.189073860404
371	890.058606261483	371	8556	371	10.1983604938287
371.5	898.79340879572	371.5	8684	371.5	10.2039631123117
372	856.402838516811	372	8308	372	10.198801063903
372.5	837.125418810948	372.5	8156	372.5	10.1960076678696
373	817.890433119936	373	8004	373	10.1943377154547
373.5	828.249140641285	373.5	8144	373.5	10.1957274127389
374	784.873933170962	374	7756	374	10.1991602191812
374.5	721.463802679094	374.5	7172	374.5	10.2124028157936
375	717.205506124424	375	7156	375	10.2022302814781
375.5	688.354530439556	375.5	6888	375.5	10.1917071001852
376	689.914062908904	376	6928	376	10.1875491655594
376.5	643.053555118012	376.5	6488	376.5	10.1954088580471
377	617.67131563613	377	6248	377	10.1812673783661
377.5	626.070364088318	377.5	6368	377.5	10.1969105548445
378	608.637665100485	378	6220	378	10.2043134785274
378.5	590.418670424215	378.5	6056	378.5	10.2008080524552
379	560.074720038148	379	5760	379	10.1867309770719
379.5	539.651942354967	379.5	5568	379.5	10.1785579728124
380	536.727280380512	380	5568	380	10.1925214983894
380.5	511.342514469471	380.5	5312	380.5	10.1852794877947
381	509.92169564678	381	5312	381	10.1922522356905
381.5	514.112912659567	381.5	5368	381.5	10.1942778460691
382	521.644634982264	382	5456	382	10.1903018267289
382.5	571.385712410478	382.5	5992	382.5	10.195602315081
383	634.257717242816	383	6664	383	10.1934401019173
383.5	718.200477207961	383.5	7564	383.5	10.1961570758306
384	785.030079347294	384	8276	384	10.1845549028241
384.5	1002.69345473333	384.5	10608	384.5	10.1987845661
385	1251.7896170486	385	13272	385	10.1990884784576
385.5	1507.31116870825	385.5	15996	385.5	10.2022631855312
386	1882.21776619362	386	19980	386	10.198709163267
386.5	2413.69228133741	386.5	25620	386.5	10.191736732754
387	2985.98967025762	387	31700	387	10.1871605119897
387.5	3664.4915037012	387.5	38960	387.5	10.195733272114
388	4454.10683632133	388	47388	388	10.1965174823295
388.5	5394.58651130352	388.5	57392	388.5	10.1898556170062
389	6499.99033326098	389	69216	389	10.1929329669008
389.5	7851.17132288077	389.5	83640	389.5	10.1909655047163
390	9147.17044468074	390	97488	390	10.1889718889671
390.5	10641.048772455	390.5	113508	390.5	10.1854532182658
391	12237.9982532822	391	130688	391	10.184397682363
391.5	13875.5042592005	391.5	148516	391.5	10.1954301532134
392	15573.9991696095	392	167004	392	10.2018333881622
392.5	17323.6443796464	392.5	186120	392.5	10.2088084065659
393	18975.6138271442	393	203964	393	10.2011251850278
393.5	20485.6912046237	393.5	220436	393.5	10.199778975293
394	21888.634535475	394	235820	394	10.1997292987786
394.5	23155.1282680783	394.5	250004	394.5	10.2092447102826
395	24107.1832848522	395	260268	395	10.1961135821776
395.5	25056.8152031093	395.5	270716	395.5	10.1889792864281
396	25624.7454648037	396	277604	396	10.2021139423652
396.5	26134.094782518	396.5	283732	396.5	10.2095210896809
397	25729.3354983919	397	279300	397	10.1935743914699
397.5	25739.4559374232	397.5	279896	397.5	10.1967128802813
398	25110.375901575	398	273372	398	10.1939269671582
398.5	24291.3119834735	398.5	264532	398.5	10.1822766679304
399	23192.5093061442	399	253056	399	10.1873822466118
399.5	21976.7606880611	399.5	240496	399.5	10.2026511127825
400	20609.6775221243	400	225868	400	10.2029702900329
400.5	19078.7746182581	400.5	209548	400.5	10.2109159322288
401	17403.7168554253	401	191416	401	10.2107012471673
401.5	15719.132183279	401.5	173020	401.5	10.2040811298914
402	13946.870446585	402	153640	402	10.1981089008078
402.5	12355.3036884411	402.5	136256	402.5	10.1948163592599
403	10881.3682349434	403	120224	403	10.1992696369073
403.5	9396.12154789627	403.5	103808	403.5	10.1842005204951
404	7942.68809269407	404	87888	404	10.1856623918526
404.5	6756.25681188108	404.5	74840	404.5	10.1820778642168
405	5659.66445607706	405	62832	405	10.1901290178888
405.5	4649.39314066239	405.5	51744	405.5	10.2007779499157
406	3847.01191856286	406	42848	406	10.1942619097896
406.5	3124.65300784534	406.5	34824	406.5	10.186006068615
407	2521.10902781759	407	28124	407	10.1809886124933
407.5	2073.39171599294	407.5	23188	407.5	10.1920828753367
408	1653.13959289119	408	18516	408	10.1928183794969
408.5	1367.88787019202	408.5	15348	408.5	10.1960665545891
409	1137.96316535266	409	12788	409	10.1971690570452
409.5	987.291825816148	409.5	11104	409.5	10.1908880572055
410	798.709091894104	410	8996	410	10.190862782547
410.5	678.453823816316	410.5	7652	410.5	10.1944745379663
411	612.948046207007	411	6924	411	10.200070418168
411.5	519.63783138164	411.5	5872	411.5	10.1932860369739
412	469.639454021629	412	5308	412	10.1848343034626
412.5	432.265979692891	412.5	4892	412.5	10.1878202287954
413	406.331498722561	413	4604	413	10.1896322405384
413.5	363.088346603396	413.5	4120	413.5	10.1940308489955
414	327.381748748151	414	3716	414	10.1868328508526
414.5	291.910625316016	414.5	3320	414.5	10.196768703036
415	262.864804444893	415	2992	415	10.1943497821053
415.5	237.894131945272	415.5	2708	415.5	10.1933881915162
416	213.93209839268	416	2436	416	10.1947880877752
416.5	200.437109527746	416.5	2280	416.5	10.1825560380513
417	187.08431813681	417	2128	417	10.1802288468581
417.5	169.512407255548	417.5	1928	417.5	10.1777560440907
418	148.192686692983	418	1688	418	10.190965974687
418.5	149.497166031765	418.5	1704	418.5	10.1959918658674
419	151.663593878598	419	1728	419	10.1900989275563
419.5	130.382047300325	419.5	1484	419.5	10.1778313797851
420	132.277562046619	420	1508	420	10.1924228838862
420.5	117.06232860489	420.5	1336	420.5	10.1946995867974
421	108.168883460727	421	1236	421	10.1982061847446
421.5	122.136329330052	421.5	1396	421.5	10.1922583025851
422	104.605203118712	422	1196	422	10.1866089128613
422.5	103.109670458423	422.5	1180	422.5	10.1872248735629
423	106.050356754125	423	1216	423	10.1980218829844
423.5	93.7836520912688	423.5	1076	423.5	10.1953117999404
424	95.1010854593707	424	1092	424	10.1946682635548
424.5	91.8625405949574	424.5	1056	424.5	10.1972160297021
425	85.2360203474936	425	980	425	10.1901119036307
425.5	89.9432114840911	425.5	1036	425.5	10.205090944358
426	102.127751449254	426	1176	426	10.1985513263508
426.5	94.1631623920875	426.5	1084	426.5	10.1923082293436
427	94.1990389637118	427	1084	427	10.184891993893
427.5	96.5698476528624	427.5	1112	427.5	10.1879339800176
428	83.9849785701528	428	968	428	10.1940282672084
428.5	76.665677523048	428.5	884	428.5	10.1946550982714
429	84.9995062451802	429	980	429	10.1901371538752
429.5	84.951003554874	429.5	980	429.5	10.1924120440423
430	83.5190443620594	430	964	430	10.1943591326913
430.5	78.9835679804031	430.5	912	430.5	10.2013166401084
431	80.7449149525406	431	932	431	10.2006666828244
431.5	81.8938618864257	431.5	944	431.5	10.1900922930347
432	84.3912799361873	432	972	432	10.1848767167932
432.5	82.2727598252358	432.5	948	432.5	10.1922232623015
433	80.2165425161449	433	924	433	10.1918781329023
433.5	75.3599346441136	433.5	868	433.5	10.1942409991448
434	76.7919264960364	434	884	434	10.1915876116582
434.5	75.7423917920019	434.5	872	434.5	10.195582124651
435	76.5020376685501	435	880	435	10.1899864214513
435.5	67.0175481797949	435.5	772	435.5	10.2071922932631
436	72.9986309143497	436	840	436	10.1989548236706
436.5	64.0191221390304	436.5	736	436.5	10.1923125445292
437	74.5075599258682	437	856	437	10.1880616228416
437.5	71.0325707428153	437.5	816	437.5	10.189766731507
438	69.9498781606813	438	804	438	10.1979798419682
438.5	71.3875792490464	438.5	820	438.5	10.1941184893776
439	68.5924394643023	439	788	439	10.1981603595487
439.5	63.4087807147872	439.5	728	439.5	10.1945298785432
440	67.5373331858687	440	776	440	10.2050789265356
440.5	64.8191008249232	440.5	744	440.5	10.1994465900346
441	72.5202172638422	441	832	441	10.1995010028772
441.5	65.2152010579362	441.5	748	441.5	10.2017664386984
442	68.4128140897854	442	784	442	10.1978599933338
442.5	63.596176554662	442.5	728	442.5	10.1915099444209
443	62.4787055435729	443	716	443	10.207673762996
443.5	62.1282123720798	443.5	712	443.5	10.2127909383573
444	72.3758779231317	444	828	444	10.199930727004
444.5	67.1722953042595	444.5	768	444.5	10.1985654437826
445	61.566663072472	445	704	445	10.2047489704765
445.5	65.7641671605533	445.5	752	445.5	10.2126696187756
446	70.0470013333799	446	800	446	10.2081356160296
446.5	73.3043744053066	446.5	836	446.5	10.2013428791225
447	63.2404736044484	447	720	447	10.1918506487711
447.5	69.2718982228671	447.5	788	447.5	10.1910574114558
448	72.7979217670318	448	828	448	10.1975458942085
448.5	72.8317074947352	448.5	828	448.5	10.2006558307734
449	72.8689884420956	449	828	449	10.203273451658
449.5	70.7669430533335	449.5	804	449.5	10.2096526570654
450	60.346016998332	450	684	450	10.1935630450342
