"Sample.ID","Abs.254","Max.Em.370","FI","HIX","Freshness"
"HARVACWC1DIL6",0.184,3720.64,1.415,7.22,0.389
"HARVACWC1DIL6",0.184,3720.64,1.415,7.22,0.389
"HARVACWC2DIL6",0.202,4021.55,1.41,7.07,0.388
"HARVACWC3DIL6",0.207,4084.75,1.414,7.34,0.392
"HARVAHWC1DIL6",1.083,14095.14,1.348,4.65,0.394
"HARVAHWC2DIL6",1.139,14630.13,1.351,4.59,0.394
"HARVAHWC3DIL6",1.034,13509.69,1.358,4.67,0.392
"SJERACWC1DIL6",0.013,198.04,1.142,2.03,0.592
"SJERACWC2DIL6",0.013,201.01,1.127,2.67,0.51
"SJERACWC3DIL6",0.014,232.67,1.116,2.52,0.529
"SJERAHWC1DIL6",0.051,1205.93,1.224,3.43,0.456
"SJERAHWC2DIL6",0.046,1112.43,1.225,2.26,0.453
"SJERAHWC3DIL6",0.047,1135.59,1.222,4.33,0.443
"HARVACWC1DIL6",0.184,3720.64,1.415,7.22,0.389
"HARVACWC2DIL6",0.202,4021.55,1.41,7.07,0.388
"HARVACWC3DIL6",0.207,4084.75,1.414,7.34,0.392
"HARVAHWC1DIL6",1.083,14095.14,1.348,4.65,0.394
"HARVAHWC2DIL6",1.139,14630.13,1.351,4.59,0.394
"HARVAHWC3DIL6",1.034,13509.69,1.358,4.67,0.392
"SJERACWC1DIL6",0.013,198.04,1.142,2.03,0.592
"SJERACWC2DIL6",0.013,201.01,1.127,2.67,0.51
"SJERACWC3DIL6",0.014,232.67,1.116,2.52,0.529
"SJERAHWC1DIL6",0.051,1205.93,1.224,3.43,0.456
"SJERAHWC2DIL6",0.046,1112.43,1.225,2.26,0.453
"SJERAHWC3DIL6",0.047,1135.59,1.222,4.33,0.443
"HARVACWC1DIL6",0.184,3720.64,1.415,7.22,0.389
"HARVACWC2DIL6",0.202,4021.55,1.41,7.07,0.388
"HARVACWC3DIL6",0.207,4084.75,1.414,7.34,0.392
"HARVAHWC1DIL6",1.083,14095.14,1.348,4.65,0.394
"HARVAHWC2DIL6",1.139,14630.13,1.351,4.59,0.394
"HARVAHWC3DIL6",1.034,13509.69,1.358,4.67,0.392
"SJERACWC1DIL6",0.013,198.04,1.142,2.03,0.592
"SJERACWC2DIL6",0.013,201.01,1.127,2.67,0.51
"SJERACWC3DIL6",0.014,232.67,1.116,2.52,0.529
"SJERAHWC1DIL6",0.051,1205.93,1.224,3.43,0.456
"SJERAHWC2DIL6",0.046,1112.43,1.225,2.26,0.453
"SJERAHWC3DIL6",0.047,1135.59,1.222,4.33,0.443
"HARVACWC1DIL6",0.184,3720.64,1.415,7.22,0.389
"HARVACWC2DIL6",0.202,4021.55,1.41,7.07,0.388
"HARVACWC3DIL6",0.207,4084.75,1.414,7.34,0.392
"HARVAHWC1DIL6",1.083,14095.14,1.348,4.65,0.394
"HARVAHWC2DIL6",1.139,14630.13,1.351,4.59,0.394
"HARVAHWC3DIL6",1.034,13509.69,1.358,4.67,0.392
"SJERACWC1DIL6",0.013,198.04,1.142,2.03,0.592
"SJERACWC2DIL6",0.013,201.01,1.127,2.67,0.51
"SJERACWC3DIL6",0.014,232.67,1.116,2.52,0.529
"SJERAHWC1DIL6",0.051,1205.93,1.224,3.43,0.456
"SJERAHWC2DIL6",0.046,1112.43,1.225,2.26,0.453
"SJERAHWC3DIL6",0.047,1135.59,1.222,4.33,0.443
"HARVACWC1DIL6",0.184,3720.64,1.415,7.22,0.389
"HARVACWC2DIL6",0.202,4021.55,1.41,7.07,0.388
"HARVACWC3DIL6",0.207,4084.75,1.414,7.34,0.392
"HARVAHWC1DIL6",1.083,14095.14,1.348,4.65,0.394
"HARVAHWC2DIL6",1.139,14630.13,1.351,4.59,0.394
"HARVAHWC3DIL6",1.034,13509.69,1.358,4.67,0.392
"SJERACWC1DIL6",0.013,198.04,1.142,2.03,0.592
"SJERACWC2DIL6",0.013,201.01,1.127,2.67,0.51
"SJERACWC3DIL6",0.014,232.67,1.116,2.52,0.529
"SJERAHWC1DIL6",0.051,1205.93,1.224,3.43,0.456
"SJERAHWC2DIL6",0.046,1112.43,1.225,2.26,0.453
"SJERAHWC3DIL6",0.047,1135.59,1.222,4.33,0.443
