Wavelength	S1c / R1c	Wavelength	S1	Wavelength	R1
nm	CPS / MicroAmps	nm	CPS	nm	MicroAmps
365	1048.69254132351	365	11756	365	12.5519597020051
365.5	1039.00655500842	365.5	11704	365.5	12.5575272679003
366	994.629869622455	366	11244	366	12.5466260716559
366.5	1002.01717340246	366.5	11384	366.5	12.5533118626441
367	959.380331912488	367	10952	367	12.5575117893847
367.5	945.112613628456	367.5	10832	367.5	12.5510411351144
368	957.338212572109	368	11028	368	12.5583028782487
368.5	978.892603023078	368.5	11324	368.5	12.554530954436
369	942.053287042322	369	10948	369	12.5551574681053
369.5	921.640411332048	369.5	10768	369.5	12.5647700901363
370	902.25259525996	370	10580	370	12.5530024876454
370.5	926.859543318399	370.5	10924	370.5	12.5604820530445
371	893.170896683048	371	10576	371	12.5621815647562
371.5	843.301007988851	371.5	10024	371.5	12.5535738743618
372	849.013178381441	372	10144	372	12.5610383030422
372.5	859.458048798793	372.5	10312	372.5	12.5563000950538
373	777.795605470125	373	9376	373	12.5573841038384
373.5	766.229563381608	373.5	9284	373.5	12.5637033176797
374	728.282499332025	374	8856	374	12.5505932103115
374.5	735.245934917864	374.5	8988	374.5	12.5583514866469
375	706.591953563085	375	8680	375	12.5608619602695
375.5	665.285777664547	375.5	8200	375.5	12.5536953099082
376	667.708660512496	376	8268	376	12.5623328098728
376.5	645.821012116546	376.5	8024	376.5	12.5550861790431
377	626.824515003058	377	7820	377	12.5568016819658
377.5	582.488906314973	377.5	7300	377.5	12.5638835667024
378	564.579221959728	378	7096	378	12.5499197239862
378.5	552.231284717468	378.5	6972	378.5	12.5558223850948
379	532.857753214006	379	6756	379	12.5584683567636
379.5	526.240489530176	379.5	6696	379.5	12.5525499241707
380	515.070251298514	380	6584	380	12.5591264866438
380.5	509.870729240599	380.5	6528	380.5	12.5529804417471
381	501.647525326737	381	6436	381	12.5525785618659
381.5	509.264106262723	381.5	6552	381.5	12.5612625217913
382	526.795587870403	382	6784	382	12.546747018921
382.5	563.711710101701	382.5	7280	382.5	12.5558113499386
383	594.525173458214	383	7696	383	12.5587483372312
383.5	672.393796567521	383.5	8716	383.5	12.5494360569959
384	792.265501863149	384	10300	384	12.5595577854701
384.5	983.213137822542	384.5	12804	384.5	12.5539697972118
385	1153.27093522611	385	15052	385	12.5550716038479
385.5	1482.78011430538	385.5	19376	385.5	12.5624809788175
386	1822.49788591398	386	23804	386	12.5488087376626
386.5	2338.18693018932	386.5	30576	386.5	12.5560320042346
387	2876.62188704693	387	37656	387	12.5612712131975
387.5	3549.12189171313	387.5	46452	387.5	12.5515320286671
388	4366.02851981149	388	57224	388	12.5613339573378
388.5	5283.43479220011	388.5	69248	388.5	12.5535257054167
389	6349.58917474872	389	83272	389	12.55332433823
389.5	7523.4084007313	389.5	98796	389.5	12.5620490696396
390	8884.61462562402	390	116656	390	12.5526222874516
390.5	10427.7597435396	390.5	137128	390.5	12.5566400852868
391	12005.7022108407	391	158100	391	12.5589788059803
391.5	13607.9162675432	391.5	179336	391.5	12.553271896824
392	15392.1258916304	392	203176	392	12.5581394016869
392.5	16871.6182543873	392.5	222952	392.5	12.5567110813802
393	18613.0022022331	393	246180	393	12.5523988011244
393.5	20134.9174121046	393.5	266828	393.5	12.5614683811654
394	21569.6770379699	394	285992	394	12.5526934544435
394.5	22962.0721601009	394.5	304892	394.5	12.5553492893936
395	23704.9564478065	395	315296	395	12.5614466770639
395.5	24758.8660996777	395.5	329508	395.5	12.5509857640209
396	25338.5273988087	396	337900	396	12.5582993382096
396.5	25314.5684593296	396.5	337876	396.5	12.5513756810114
397	25585.4045952338	397	342016	397	12.5527322483887
397.5	25335.7070565877	397.5	339308	397.5	12.5580998509058
398	24566.1559051464	398	329200	398	12.5476768284875
398.5	23977.3139770866	398.5	321924	398.5	12.5536632542443
399	22841.9520881919	399	307228	399	12.5580231663358
399.5	21694.7484973366	399.5	292032	399.5	12.5500275853138
400	20052.6268498286	400	270548	400	12.5607672337073
400.5	18735.8942658889	400.5	253028	400.5	12.555262985683
401	17104.956481755	401	231320	401	12.5548217747473
401.5	15233.2473664504	401.5	206404	401.5	12.5612186741352
402	13558.5397008791	402	183832	402	12.5516352024948
402.5	12176.5797880387	402.5	165420	402.5	12.5585614231695
403	10582.6495230297	403	144020	403	12.5628970432689
403.5	9096.71634791289	403.5	123896	403.5	12.5550190647856
404	7769.94121181784	404	106016	404	12.5597468235553
404.5	6552.75766822054	404.5	89516	404.5	12.55698410384
405	5479.43184724798	405	74952	405	12.5555915501348
405.5	4513.8113941936	405.5	61868	405.5	12.5629674534249
406	3763.68869830856	406	51616	406	12.5521873997581
406.5	3048.53422567131	406.5	41888	406.5	12.5581487278587
407	2483.78351495326	407	34200	407	12.5665729221601
407.5	2001.42324055548	407.5	27572	407.5	12.554815793302
