A	B	C
365	15010	1084.24474
365.5	15530	1122.44664
366	14380	1039.50545
366.5	14130	1021.39042
367	14490	1047.1901
367.5	13940	1007.33678
368	13970	1010.27406
368.5	13750	994.16704
369	14430	1042.90819
369.5	13520	977.12254
370	14110	1019.94137
370.5	13850	1000.8388
371	13660	987.68393
371.5	13940	1008.57626
372	13880	1002.69206
372.5	12340	891.64771
373	13080	945.03372
373.5	12620	911.82703
374	11960	865.2149
374.5	12510	904.28675
375	11860	857.00123
375.5	12240	885.10531
376	12160	878.71637
376.5	10510	759.33543
377	10840	783.27663
377.5	10450	754.85537
378	9890	714.36477
378.5	9590	693.0103
379	9760	705.28753
379.5	11320	818.30191
380	9890	715.09179
380.5	10320	745.765
381	9060	654.55629
381.5	9050	654.20309
382	9330	674.05436
382.5	9070	655.69271
383	10630	768.24086
383.5	10450	754.92685
384	11510	831.69176
384.5	13490	975.00122
385	15250	1102.28315
385.5	19840	1432.83901
386	21550	1555.58571
386.5	28430	2053.33908
387	34840	2515.41359
387.5	42450	3066.09831
388	51170	3694.12886
388.5	64370	4649.86225
389	80280	5797.5604
389.5	95110	6868.38958
390	113220	8180.40008
390.5	134750	9736.42393
391	156670	11313.31387
391.5	177170	12799.29438
392	203210	14681.88864
392.5	228940	16529.89957
393	255850	18481.23224
393.5	275320	19886.67287
394	302380	21845.75177
394.5	323640	23364.60304
395	343330	24809.65264
395.5	357710	25853.75332
396	370210	26754.05273
396.5	377220	27270.66314
397	382310	27621.5249
397.5	385530	27881.52437
398	383610	27745.84152
398.5	373450	26990.9232
399	360360	26041.06012
399.5	343310	24799.555
400	324460	23447.861
400.5	303550	21932.90289
401	284190	20529.32547
401.5	261520	18916.34303
402	238030	17212.6914
402.5	216490	15642.69645
403	191350	13832.28443
403.5	169190	12234.56453
404	142580	10304.24397
404.5	124650	9009.89105
405	104620	7563.37031
405.5	91340	6596.41583
406	77320	5592.01841
406.5	64140	4636.86406
407	53200	3844.01699
407.5	44260	3200.20508
408	36520	2640.28248
408.5	30610	2212.36708
409	26460	1914.08332
409.5	22890	1654.95217
410	19020	1374.46753
410.5	15950	1154.1691
411	14410	1041.17422
411.5	12880	930.80167
412	12090	874.59901
412.5	10800	780.59703
413	10250	741.25734
413.5	8630	623.96697
414	9190	664.24815
414.5	9890	714.54368
415	7460	539.1871
415.5	7370	532.31424
416	6960	502.96766
416.5	6630	479.32323
417	5720	413.27783
417.5	6240	451.59302
418	6170	446.40849
418.5	5470	395.48777
419	6000	434.00775
419.5	6770	489.8855
420	5430	392.61516
420.5	4590	331.97695
421	5240	378.94155
421.5	4740	342.54452
422	4880	352.88842
422.5	5080	367.47506
423	5100	368.92677
423.5	5080	367.37401
424	5020	362.96148
424.5	6630	479.55552
425	4720	341.36751
425.5	4920	355.6934
426	4540	328.41546
426.5	4600	332.82968
427	4320	312.22945
427.5	4760	344.2362
428	4870	352.09225
428.5	4720	341.26255
429	5010	362.21264
429.5	4860	351.35847
430	4740	342.68549
430.5	4450	322.01334
431	4800	347.15019
431.5	4970	359.11417
432	4710	340.55135
432.5	4800	347.1243
433	4600	332.73711
433.5	6750	488.15912
434	5090	368.23052
434.5	4360	315.23498
435	4610	333.19934
435.5	4640	335.22869
436	4790	346.21656
436.5	4000	289.25206
437	4250	307.2882
437.5	4460	322.68474
438	4820	348.7786
438.5	5520	398.7874
439	4750	343.23793
439.5	3950	285.51367
440	4390	317.16256
440.5	4470	323.00812
441	4540	328.18098
441.5	4390	317.21998
442	4210	304.31046
442.5	4380	316.73529
443	4500	325.23142
443.5	4640	335.54176
444	4500	325.42313
444.5	4960	358.56105
445	5940	429.87713
445.5	4220	305.16089
446	4500	325.17369
446.5	4320	312.28951
447	4380	316.60677
447.5	4410	318.92176
448	3970	286.83471
448.5	4350	314.46358
449	5810	420.10559
449.5	4560	329.88733
450	3770	272.65477
